  2021  4 5 1739  4.7 L  27.232  88.765  5.8  TES 15 1.2                        
SK02  195.00  105.00C                         IP    
SK08  266.00   98.00D                         IP    
SK18  319.00   98.00D                         EP    
SK03  198.00   58.00C                         IP    
SK05  248.00   58.00C                         IP    
SK17  262.00   58.00C                         IP    
SK04  247.00   58.00C                         IP    
