0.00 0.00 300.0
0.52 0.00 410.0
1.98 0.00 660.0
39.41 0.00 2352.6
76.84 0.00 660.0
78.30 0.00 410.0
78.82 0.00 300.0
79.21 0.00 210.0
79.90 0.00 35.0
79.95 0.00 20.0
80.00 0.00 0.0
0.00 0.00 300.0
0.41 0.00 410.0
1.55 0.00 660.0
39.53 0.00 2889.0
77.51 0.00 660.0
78.64 0.00 410.0
79.06 0.00 300.0
79.37 0.00 210.0
79.92 0.00 35.0
79.96 0.00 20.0
80.00 0.00 0.0
0.00 0.00 300.0
0.41 0.00 210.0
1.13 0.00 35.0
1.17 0.00 20.0
1.23 0.00 0.0
1.28 0.00 20.0
1.33 0.00 35.0
2.05 0.00 210.0
2.46 0.00 300.0
3.00 0.00 410.0
4.53 0.00 660.0
40.61 0.00 2250.8
76.70 0.00 660.0
78.23 0.00 410.0
78.77 0.00 300.0
79.18 0.00 210.0
79.90 0.00 35.0
79.95 0.00 20.0
80.00 0.00 0.0
0.00 0.00 300.0
0.20 0.00 210.0
0.57 0.00 35.0
0.60 0.00 20.0
0.63 0.00 0.0
0.68 0.00 20.0
0.73 0.00 35.0
1.44 0.00 210.0
1.85 0.00 300.0
2.39 0.00 410.0
3.90 0.00 660.0
40.31 0.00 2275.8
76.73 0.00 660.0
78.24 0.00 410.0
78.78 0.00 300.0
79.19 0.00 210.0
79.90 0.00 35.0
79.95 0.00 20.0
80.00 0.00 0.0
0.00 0.00 300.0
1.01 0.00 410.0
4.21 0.00 660.0
18.40 0.00 978.8
32.59 0.00 660.0
35.79 0.00 410.0
36.80 0.00 300.0
37.53 0.00 210.0
38.77 0.00 35.0
38.85 0.00 20.0
38.93 0.00 0.0
39.02 0.00 20.0
39.09 0.00 35.0
40.34 0.00 210.0
41.07 0.00 300.0
42.07 0.00 410.0
45.28 0.00 660.0
59.47 0.00 978.8
73.65 0.00 660.0
76.86 0.00 410.0
77.87 0.00 300.0
78.59 0.00 210.0
79.84 0.00 35.0
79.91 0.00 20.0
80.00 0.00 0.0
0.00 0.00 300.0
0.34 0.00 410.0
1.29 0.00 660.0
24.69 0.00 2889.0
39.60 0.00 3085.6
54.51 0.00 2889.0
77.90 0.00 660.0
78.85 0.00 410.0
79.19 0.00 300.0
79.45 0.00 210.0
79.93 0.00 35.0
79.96 0.00 20.0
80.00 0.00 0.0
0.00 0.00 300.0
0.38 0.00 410.0
1.43 0.00 660.0
29.69 0.00 2889.0
34.62 0.00 2911.9
39.56 0.00 2889.0
44.49 0.00 2911.9
49.42 0.00 2889.0
77.68 0.00 660.0
78.73 0.00 410.0
79.11 0.00 300.0
79.40 0.00 210.0
79.92 0.00 35.0
79.96 0.00 20.0
80.00 0.00 0.0
